,m1,m2,m3,m4,m5
0,쌀밥,오징어찌개,쇠불고기,계란찜,청포묵무침
1,쌀밥,김치찌개,가자미튀김,모둠소세지구이,마늘쫑무침
2,카레덮밥,팽이장국,치킨핑거,쫄면야채무침,견과류조림
3,쌀밥,쇠고기무국,주꾸미볶음,부추전,시금치나물
4,쌀밥,떡국,돈육씨앗강정,우엉잡채,청경채무침
5,쌀밥,시래기국,훈제오리구이,도토리묵무침,쌈무
6,쌀밥,꽃게탕,돈육굴소스볶음,옥수수전,유채나물
7,쌀밥,시금치국,닭감자조림,연두부,콩나물무침
8,쌀밥,쇠고기무국,탕수어,오징어숙회무침,취나물
9,쌀밥,냉이된장국,쇠고기장조림,통도라지구이,치커리무침
10,비빔밥,유부장국,고구마치즈구이,해초무침,요구르트
11,쌀밥,대구찌개,마늘간장치킨,새송이버섯볶음,돌나물무침
12,쌀밥,쇠고기느타리국,갈치구이,호박꼬지&고사리&무나물,파래김
13,쌀밥,콩나물국,돈육간장볶음,버섯잡채,꽃상추무침
14,비빔밥,팽이장국,소세지피망볶음,맛탕,귤
15,쌀밥,북어계란국,닭갈비,새싹두부구이,곰피초장
16,쌀밥,수제비국,오징어볶음,계란찜,도라지초무침
17,쌀밥,얼갈이된장국,제육볶음,늙은호박전,치커리생채
18,쌀밥,쇠고기미역국,주꾸미볶음,맛살계란말이,아삭고추무침
19,쌀밥,근대된장국,탕수육,새송이버섯조림,무생채
20,쌀밥,부대찌개,가자미튀김,메추리알조림,열무된장나물
21,쌀밥,콩나물국,닭갈비,모둠묵,톳두부무침
22,쌀밥,차돌박이찌개,고등어김치말이,소세지구이,풋마늘초무침
23,쌀밥,북어국,돈육장조림,홍어무침,시금치나물
24,쌀밥,고추장찌개,닭데리야끼조림,해물파전,취나물
25,쌀밥,배추된장국,수제돈가스,탕평채,쫄면무침
26,쌀밥,어묵국,돈육고추장볶음,모둠양채쌈,콩나물파채무침
27,쌀밥,쑥국,소불고기,골뱅이무침,마늘쫑볶음
28,곤드레밥,콩나물김치국,미니채소떡갈비,두부계란부침,무나물
29,쌀밥,사골우거지국,탕수어,파래김,깻순나물
30,쌀밥,시금치국,훈제오리구이,연근땅콩조림,쌈무
31,쌀밥,꽃게탕,버섯불고기,계란말이,도토리묵무침
32,쌀밥,쇠고기샤브국,코다리강정,두부&김치볶음,유채나물
33,콩나물밥,맑은국,치킨텐더,땅콩조림,실곤약초무침
34,쌀밥,북어계란국,쇠고기장조림,오징어초무침,시래기나물
35,쌀밥,닭개장,자반고등어구이,비엔나볶음,열무나물
36,쌀밥,얼갈이된장국,닭갈비,해파리냉채,취나물
37,쌀밥,옹심이만두국,주꾸미볶음,새송이버섯전,치커리유자청생채
38,비빔밥,쪽파국,오징어튀김,알감자버터구이,오렌지
39,쌀밥,매운콩나물국,돈육굴소스볶음,동태전,봄동나물
40,쌀밥,버섯들깨탕,갈치조림,우엉잡채,아삭고추무침
41,쌀밥,순두부찌개,쇠불고기,브로컬리맛살볶음,풋마늘초무침
42,쌀밥,북어국,오징어볶음,모둠소시지구이,시금치나물
43,쌀밥,올갱이아욱국,제육볶음,두부조림,모둠쌈
44,쌀밥,어묵국,매운돼지갈비찜,해물파전,무생채
45,쌀밥,배추된장국,순살양념치킨,메추리알조림,콩나물무침
46,쌀밥,시래기국,훈제오리구이,무쌈,풋마늘초무침
47,쌀밥,부대찌개,쇠고기단호박조림,열무나물,시금치나물
48,쌀밥,수제비국,돈육굴소스볶음,양배추,무생채
49,쌀밥,냉이된장찌개,닭데리야끼조림,도라지초무침,콩나물무침
50,쌀밥,배추된장국,돈육강정,콩나물잡채,브로컬리두부무침
51,쌀밥,육개장,꽁치한마리구이,고기전,해초무침
52,콩나물밥,근대된장국,매콤떡갈비조림,청포묵무침,부추생채
53,쌀밥,대구매운탕,쇠고기볶음,옥수수전,청경채생채
54,쌀밥,북어국,등갈비김치찜,연근조림,깻잎양념지
55,쌀밥,콩나물국,돈간장불고기,김치전,버섯볶음
56,쌀밥,쇠고기무국,주꾸미볶음,치즈계란말이,풋마늘대무침
57,비빔밥,미소장국,궁중떡찜,알감자버터구이,유기농식혜
58,쌀밥,미역국,양념파닭,동그랑땡부침,콩자반
59,쌀밥,돈육김치찌개,미트볼조림,고등어카레구이,치커리사과무침
60,쌀밥,시금치국,닭갈비,맛살겨자채,비름나물
61,곤드레밥,무채국,모둠장조림,온두부,실곤약초무침
62,쌀밥,쇠고기샤브국,오징어볶음,동태전,무생채
63,쌀밥,매운어묵국,훈제오리구이,무쌈,도토리묵무침
64,쌀밥,콩나물국,버섯불고기,오징어초무침,시금치나물
65,영양밥,시래기된장국,돈육칠리강정,멸치크랜베리볶음,가지나물
66,쌀밥,오징어국,찜닭,꽃맛살볶음,통도라지구이
67,쌀밥,된장찌개,매운돼지갈비찜,해물파전,치커리유자생채
68,쌀밥,감자고추장찌개,돈육굴소스볶음,계란찜,꽃상추무침
69,쌀밥,들깨버섯탕,고등어김치말이,고기전,비름나물
70,비빔밥,미소장국,치킨핑거,연근땅콩조림,요플레
71,쌀밥,열무된장국,미니채소떡갈비,골뱅이무침,숙주나물
72,쌀밥,순두부찌개,닭오븐구이,새송이버섯전,불미나리무침
73,쌀밥,북어콩나물국,쇠고기불고기,옥수수전,오이무침
74,쌀밥,한방갈비탕,꼬지삼색전,오징어숙회무침,치커리생채
75,볶음밥,미역장국,탕수어,우엉조림,매실주스
76,쌀밥,쇠고기해장국,갈치구이,비엔나감자볶음,무생채
77,쌀밥,배추된장국,닭양념조림,동그랑땡전,고구마순나물
78,쌀밥,콩나물김치국,누룽지탕수육,명태조림,오이도라지생채
79,쌀밥,근대된장국,닭갈비,잡채,깻잎양념지
80,비빔밥,강된장찌개,오징어튀김,궁중떡볶이,음료
81,쌀밥,오이미역냉국,모둠장조림,두부구이,실곤약초무침
82,쌀밥,차돌박이찌개,찜닭,김치전,머위대나물
83,쌀밥,북어계란국,돈육굴소스볶음,홍어채무침,가지나물
84,쌀밥,참치김치찌개,순살깐풍기,맛살콩나물냉채,브로컬리초장
85,쌀밥,매운콩나물국,돼지갈비찜,부추전,비름나물
86,쌀밥,된장찌개,오징어볶음,모둠소시지구이,치커리사과무침
87,쌀밥,북어콩나물국,제육볶음,참치야채전,모둠쌈
88,쌀밥,배추된장국,닭양념조림,탕평채,어묵볶음
89,카레덮밥,맑은국,떡갈비조림,쫄면무침,열무된장나물
90,쌀밥,부대찌개,가자미양념찜,고기전,해초무침
91,쌀밥,꽃게탕,돈육강정,버섯잡채,김구이
92,쌀밥,어묵국,레몬탕수육,명태엿장조림,시금치나물
93,쌀밥,대구찌개,간장치킨,마늘쫑볶음,오이무침
94,쌀밥,시래기국,돈삼겹보쌈,새송이버섯전,콩나물파채무침
95,쌀밥,쇠고기무국,매콤낙지볶음,메추리알조림,숙주나물
96,쌀밥,도토리묵냉국,목살데리야끼구이,골뱅이무침&소면,간장깻잎지
97,쌀밥,배추된장국,훈제오리구이,실곤약초무침,쌈무
98,쌀밥,육개장,고등어구이,닭가슴살냉채,마늘쫑무침
99,쌀밥,콩나물국,간장돼지갈비찜,계란말이,상추겉절이
100,쌀밥,버섯들깨찌개,닭오븐구이,김치전,치커리사과무침
101,쌀밥,수제비국,유자청제육볶음,두부새싹구이,양배추
102,쌀밥,감자고추장찌개,버섯불고기,맛살겨자초무침,노각무침
103,쌀밥,쇠고기미역국,꽁치김치말이찜,모둠소세지구이,비름나물
104,곤드레밥,가쯔오장국,닭강정,해물파전,통도라지구이
105,쌀밥,된장찌개,갈치조림,돈육잡채,오이생채
106,쌀밥,우무묵냉국,갈릭돈까스,감자볶음,영양부추
107,쌀밥,호박잎찌개,돈육굴소스볶음,홍어채무침,모듬쌈
108,쌀밥,건새우아욱국,순살파닭,꽃맛살볶음,도라지나물
109,비빔밥,오이냉국,사천식탕수육,감자만두,수박
110,쌀밥,배추된장국,매운주꾸미볶음,동태전,브로컬리두부무침
111,쌀밥,북어계란국,등갈비김치찜,삼치구이,가지나물
112,쌀밥,순두부찌개,돈육떡강정,새송이버섯전,해초무침
113,쌀밥,시래기국,목살데리야끼,늙은호박전,치커리들깨무침
114,쌀밥,사골우거지탕,미트볼조림,골뱅이무침,청포묵무침
115,쌀밥,우묵콩국,고추장불고기,명태엿장조림,깻잎지
116,참치회덮밥,미소장국,고구마치즈구이,춘권,토마토
117,쌀밥,쇠고기미역국,불닭볶음,해파리겨자채,쌈무
118,쌀밥,청국장찌개,미니채소떡갈비,계란말이,연근조림
119,쌀밥,시금치국,동파삼겹수육,감자채볶음,오이도라지무침
120,쌀밥,꽃게탕,훈제오리냉채,동그랑땡전,콩자반
121,연복풍덮밥,도토리묵냉국,꽁치오븐구이,마늘쫑무침,양배추
122,쌀밥,부대찌개,갈치구이,닭살겨자냉채,꽈리고추찜
123,비빔밥,팽이장국,꽃맛살볶음,웨지감자오븐구이,유기농식혜
124,쌀밥,버섯들깨탕,레몬탕수육,메추리알조림,콩나물무침
125,쌀밥,복숭아미역냉국,닭데리야끼조림,비엔나감자볶음,시금치무침
126,쌀밥,된장찌개,매콤돼지갈비찜,연근,무생채
127,쌀밥,호박잎된장국,유자청제육볶음,오꼬노미계란말이,도라지초무침
128,쌀밥,콩나물국,미니함박조림,오징어브로컬리숙회,오이무침
129,쌀밥,사과오이냉국,장어강정,우엉잡채,치커리생채
130,쌀밥,시래기국,삼겹살오븐구이,매운어묵볶음,상추&마늘
131,고기덮밥,맑은국,새우까스&탈탈소스,고구마범벅,노각무침
132,쌀밥,닭곰탕,고등어조림,비엔나피망볶음,해초무침
133,쌀밥,대구매운탕,오징어볶음,고기전,청경채무침
134,쌀밥,열무된장국,갈릭돈가스,마늘쫑볶음,실곤약초무침
135,영양밥,도토리묵냉국,소고기숙주볶음,땅콩조림,쑥갓두부무침
136,쌀밥,꽃게탕,고추잡채,꽁치와사비구이,오이무침
137,쌀밥,배추된장국,칠리탕수육,두부조림,콩나물무침
138,쌀밥,해물된장찌개,닭볶음,연근조림,치커리유자청무침
139,쌀밥,육개장,동태무조림,부추전,올방개묵무침
140,쌀밥,떡국,마늘치킨,홍어채무침,꽃맛살오리엔탈샐러드
141,쌀밥,순두부찌개,소불고기,골뱅이무침,아삭고추무침
142,쌀밥,버섯매운탕,갈치구이,모듬소시지볶음,호박잎쌈
143,비빔밥,가쯔오장국,계란말이,과일샐러드,단무지무침
144,쌀밥,오징어국,목살데리야끼,버섯잡채,브로컬리초장
145,쌀밥,시래기된장국,닭찜,해물파전,청경채무침
146,쌀밥,쇠고기샤브국,오징어볶음,옥수수전,연두부
147,쌀밥,부대찌개,가자미카레튀김,모둠버섯볶음,참나물땅콩무침
148,곤드레밥,두부맑은국,돈육떡강정,계란찜,오이무침
149,쌀밥,된장찌개,오리고추장볶음,콩나물잡채,부추생채
150,쌀밥,황태맑은국,유린기,도토리묵무침,숙주나물
151,쌀밥,시래기국,닭볶음,동그랑땡,상추겉절이
152,쌀밥,토란국,매운돼지갈비찜,어묵볶음,쑥갓두부무침
153,쌀밥,어묵국,오리훈제고추장볶음,계란말이,애호박나물
154,쌀밥,얼갈이된장국,레몬탕수육,감자채볶음,참나물생채
155,비빔밥,팽이장국,너비아니구이,땅콩조림,핫도그
156,쌀밥,쇠고기무국,임연수찜,햄피망볶음,단배추나물
157,쌀밥,오징어국,소고기숙주볶음,두부조림,무생채
158,쌀밥,아욱된장국,유자청돈육볶음,우엉잡채,양배추
159,쌀밥,느타리버섯국,간장파닭,쫄면무침,열무된장나물
160,카레덮밥,맑은국,샐러드파스타,새송이버섯조림,오이무침
161,쌀밥,된장찌개,돈육장조림,호박부추전,올방개묵무침
162,쌀밥,우거지해장국,꽁치한마리구이,가지볶음,브로컬리초장
163,쌀밥,배추된장국,버섯불고기,골뱅이소면무침,마늘쫑건새우볶음
164,쌀밥,차돌박이찌개,매운주꾸미볶음,모둠소세지구이,콩나물무침
165,쌀밥,미역국,한방소갈비찜,오징어숙회무침,동태
166,쌀밥,대구매운탕,표고돈육탕수,메추리알곤약조림,부추생채
167,쌀밥,쇠고기샤브국,오징어볶음,맛살계란말이,참나물무침
168,쌀밥,시금치된장국,목살스테이크,버섯잡채,오이무침
169,비빔밥,팽이버섯국,생선커틀릿,오복지무침,오렌지주스
170,쌀밥,떡국,마늘치킨,모듬묵,열무된장나물
171,쌀밥,건새우무국,등갈비김치찜,계란버섯장조림,애호박나물
172,쌀밥,미역국,소불고기,모둠양채쌈,매운어묵볶음
173,쌀밥,꽃게탕,미트볼칠리조림,부추전,치커리유자청무침
174,쌀밥,참치김치찌개,유린기,셀프무쌈말이,멸치크렌베리볶음
175,쌀밥,돈신탕,꽁치김치말이,메밀버섯전,쑥갓두부무침
176,짜장덮밥,계란국,사천식탕수육,풍기샐러드,단무지
177,쌀밥,된장찌개,제육볶음,해물파전,콩나물무침
178,쌀밥,육개장,갈치구이,고추잡채,미역레몬초무침
179,곤드레밥,배추된장국,데리야끼파닭,실곤약초무침,땅콩조림
180,쌀밥,동태찌개,돈육장조림,두부계란전,해초무침
181,쌀밥,버섯들깨탕,고등어조림,비엔나감자볶음,통도라지구이
182,쌀밥,근대된장국,쇠고기숙주볶음,새송이버섯전,홍어채무침
183,쌀밥,알탕,닭갈비,생선까스,시금치나물
184,콩나물밥,가쯔오장국,훈제오리,양파절임,부추겉절이
185,쌀밥,쇠고기무국,쭈꾸미볶음,계란말이,세발나물
186,쌀밥,사골우거지탕,명태엿장조림,모듬소세지구이,오이무침
187,쌀밥,오징어국,유자청제육볶음,날치알계란찜,상추파채무침
188,쌀밥,차돌박이찌개,순살양념치킨,동그랑땡전,깻잎지
189,영양밥,꽃게탕,고추잡채,연근조림,무생채
190,쌀밥,김치콩나물국,쇠고기장조림,닭살겨자채,멸치아몬드볶음
191,쌀밥,아욱된장국,칠리탕수육,동태전,치커리무침
192,쌀밥,어묵국,소고기버섯볶음,오징어숙회무침,부추호박전
193,쌀밥,김치국,닭데리야끼조림,햄감자채볶음,브로컬리무침
194,영양밥,조랭이떡미역국,유산슬,임연수구이,청경채무침
195,쌀밥,설렁탕,해물김치전,올방개묵무침,풋고추
196,쌀밥,콩비지찌개,순살깐풍기,어묵볶음,쌈다시마초장
197,쌀밥,시래기된장국,누룽지탕수육,계란찜,도라지초무침
198,쌀밥,대구매운탕,쇠고기숙주볶음,새싹두부구이,오이생채
199,쌀밥,순두부탕,파닭,갈치조림,청포묵무침
200,쌀밥,수제비국,짬뽕불고기,우엉잡채,참나물
201,카레덮밥,맑은국,통감자오븐구이,샐러드파스타,연근땅콩조림
202,쌀밥,쇠고기느타리국,오징어볶음,모둠소시지구이,물파래무침
203,쌀밥,근대국,제육볶음,늙은호박전,모둠쌈
204,비빔밥,가쯔오장국,치킨핑거,감자샐러드,오복지무침
205,쌀밥,콩나물국,모둠장조림,골뱅이무침,톳두부무침
206,쌀밥,떡국,양념찜닭,콩나물겨자채,청경채무침
207,쌀밥,순두부찌개,훈제오리구이,참치야채전,무쌈말이
208,쌀밥,홍합탕,삼겹살오븐구이,실곤약흑임자무침,배추쌈
209,짜장덮밥,유부장국,해물누룽지탕,개성감자만두,쨔샤이무침
210,쌀밥,아욱국,양념돼지갈비찜,버섯메밀전,상추초무침
211,쌀밥,차돌박이된장찌개,삼치무조림,닭가슴살냉채,마늘쫑무침
212,쌀밥,콩나물김치국,돈육굴소스볶음,매운어묵무침,다시마
213,쌀밥,냉이된장찌개,코다리강정,돈육잡채,오이도라지무침
214,고기덮밥,가쯔오장국,고구마튀김,멕시칸샐러드,청경채무침
215,쌀밥,콩비지찌개,오리고추장볶음,옥수수계란찜,부추생채
216,쌀밥,쇠고기샤브국,갈치구이,비엔케찹볶음,아삭고추무침
217,쌀밥,배추된장국,짬뽕불고기,감자채볶음,하루나겉절이
218,쌀밥,콩나물국,고추잡채,꽁치김치말이,올방개묵무침
219,쌀밥,된장찌개,마늘간장치킨,홍어채무침,가지나물
220,쌀밥,꽃게탕,쇠고기버섯볶음,양배추,오이무침
221,쌀밥,얼갈이국,떡갈비조림,동태전,치커리유자청무침
222,쌀밥,동태찌개,돈육간장불고기,두부새싹구이,풋마늘대무침
223,쌀밥,열무된장국,닭갈비,우엉잡채,포기김치
224,콩나물밥,가쯔오장국,미트볼케찹조림,꽃맛살샐러드,군고구마
225,쌀밥,시래기국,오징어볶음,소세지감자조림,쑥갓두부무침
226,쌀밥,순두부찌개,수제돈까스,꽈리고추어묵볶음,물미역초장
227,쌀밥,사골떡국,쇠고기낙지볶음,부추깻잎전,통도라지구이
228,쌀밥,홍합탕,매운동태찜,언양식불고기,콩나물파채절이
229,곤드레밥,황태국,동그랑땡전,비빔메밀국수,꽈리고추멸치볶음
230,쌀밥,육개장,굴비구이,두반장감자볶음,청경채생채
231,쌀밥,된장찌개,레몬탕수육,주꾸미초무침,어묵볶음
232,쌀밥,콩나물국,동파육,무쌈말이,쫑상추무침
233,쌀밥,쇠고기미역국,주꾸미떡볶음,고기전,두반장가지볶음
234,비빔밥,팽이장국,생선까스,씨리얼과일샐러드,오복지무침
235,쌀밥,어묵국,매운닭찜,모듬버섯구이,봄동된장무침
236,쌀밥,짬뽕국,미니함박조림,잡채,치커리유자생채
237,쌀밥,얼갈이된장국,오징어볶음,꽃맛살햄볶음,참나물땅콩무침
238,쌀밥,순두부찌개,쇠고기숙주볶음,삼색묵무침,시금치초생채
239,쌀밥,아욱국,훈제오리구이,옥수수전,무쌈
240,쌀밥,수제비국,유자청돈육볶음,두부새싹구이,청경채무침
241,쌀밥,닭개장,가자미카레튀김,비엔나케찹볶음,파래김
242,쌀밥,냉이콩나물국,닭볶음,새송이버섯전,마늘쫑무침
243,쌀밥,알탕,돈육간장불고기,감자채볶음,깻잎찜
244,카레덮밥,맑은국,유린기,개성감자만두,오이사과무침
245,쌀밥,배추된장국,소갈비찜,삼색꼬지전,콩나물무침
246,쌀밥,미역국,언양식불고기,양잡피잡채,진미채무침
247,쌀밥,시금치된장국,고추장불고기,닭살겨자채,모듬쌈
248,쌀밥,굴김치두부국,스위트칠리미트볼,갈치구이,치커리생채
249,쌀밥,콩나물국,소고기낙지볶음,연두부찜,무생채
250,쌀밥,냉이된장찌개,닭갈비,감자전,단배추나물
251,쌀밥,대구매운탕,유산슬,땅콩멸치볶음,실곤약무침
252,콩나물밥,맑은국,닭오븐구이,춘권,물미역무침
253,쌀밥,배추국,수제돈까스,명태조림,치커리생채
254,오곡밥,소고기무국,굴비구이,홍어무침,보름나물
255,쌀밥,쇠고기미역국,제육볶음,두부구이,도라지오이생채
256,쌀밥,된장찌개,주꾸미볶음,돈육잡채,숙주나물
257,쌀밥,들깨시래기국,순살파닭,해물김치전,다시마쌈
258,쌀밥,홍합탕,소불고기,오징어초무침,얼갈이나물
259,쌀밥,어묵국,등갈비김치찜,동태전,부추무침
260,쌀밥,열무된장국,동파육,새송이버섯전,치커리유자무침
261,쌀밥,버섯들깨탕,낙지볶음,야채계란찜,취나물
262,비빔밥,유부장국,생선까스,파스타샐러드,마늘쫑볶음
263,쌀밥,콩나물국,돼지갈비찜,메추리알조림,브로컬리초장
264,쌀밥,수제비국,깐풍기,어묵볶음,톳무침
265,쌀밥,봄동된장국,훈제오리구이,녹두김치전,양파절임
266,쌀밥,사골떡국,언양식불고기,콩나물동태찜,돌나물무침
267,쌀밥,돈육김치찌개,팝콘치킨,고등어조림,해초무침
268,카레덮밥,맑은국,미니채소떡갈비,군만두,무피클
269,쌀밥,어묵국,순살닭갈비,동그랑땡전,치커리사과무침
270,쌀밥,토란탕,돈육칠리강정,꽁치한마리구이,봄동달래무침
271,곤드레밥,미소국,오징어볶음,햄감자채볶음,고추간장지
272,쌀밥,아욱국,마늘치킨,골뱅이무침,숙주나물
273,쌀밥,얼큰순두부찌개,해물청경채볶음,계란말이,도라지오이생채
274,쌀밥,오징어국,버섯불고기,야채계란찜,파래김
275,쌀밥,동태찌개,미트볼케찹조림,우엉잡채,방풍나물
276,쌀밥,근대국,양념찜닭,옥수수전,건새우마늘쫑볶음
277,쌀밥,옹심이만두국,돈육굴소스볶음,콩나물겨자채,모듬쌈
278,쌀밥,고추장찌개,치킨커틀렛,연근땅콩조림,시금치나물
279,쌀밥,아욱국,콩나물불고기,맛살전,상추무침
280,쌀밥,냉이된장찌개,쇠고기장조림,굴비구이,부추생채
281,쌀밥,돈육김치찌개,유린기,비엔나볶음,세발나물
282,쌀밥,콩가루배추국,돼지갈비찜,물파래전,통도라지구이
283,쌀밥,대구매운탕,고추잡채,올방개묵무침,김구이
284,쌀밥,알탕,소고기숙주볶음,오꼬노미계란말이,얼갈이나물
285,쌀밥,소고기미역국,주꾸미볶음,탕평채,시금치나물
286,비빔밥,팽이장국,언양식불고기,땅콩조림,바나나
287,쌀밥,북어콩나물국,사천식탕수육,김치전,쑥갓두부무침
288,쌀밥,쇠고기무국,생선커틀렛,닭가슴살장조림,콩나물무침
289,쌀밥,꽃게탕,훈제오리,오이달래무침,쌈무
290,쌀밥,된장찌개,쇠불고기,동태전,도토리묵무침
291,짜장덮밥,맑은계란국,유산슬,부추만두,단무지무침
292,쌀밥,근대국,마늘치킨,감자채전,크래미숙주무침
293,쌀밥,육개장,미니채소떡갈비,버섯구이,참나물생채
294,쌀밥,얼갈이국,쇠고기낙지볶음,날치알계란찜,비름나물
295,쌀밥,김치찌개,해물누룽지탕,우엉잡채,청경채무침
296,쌀밥,들깨미역국,삼겹살오븐구이,맛살콩나물냉채,파채상추무침
297,쌀밥,황태국,닭데리야끼조림,매운어묵볶음,시금치나물
298,쌀밥,쇠고기샤브국,오징어볶음,메추리알조림,머위된장나물
299,쌀밥,된장찌개,돈육굴소스볶음,오징어숙회무침,방풍나물
300,쌀밥,들깨시래기국,쇠고기장조림,시금치프리타타,도라지생채
301,곤드레밥,맑은국,탕수어,쫄면무침,요플레
302,쌀밥,아욱국,등갈비김치찜,참치야채전,가지나물
303,쌀밥,콩나물김치국,버섯불고기,브로컬리맛살볶음,부추생채
304,쌀밥,부대찌개,언양식불고기,계란장조림,아삭고추된장무침
305,쌀밥,차돌박이찌개,닭강정,콩나물잡채,도토리묵무침
306,비빔밥,맑은국,오징어튀김,견과류조림,하와이안샐러드
307,쌀밥,미역국,매콤함박스테이크,삼치구이,영양부추생채
308,쌀밥,꽃게찌개,탕수육,곤약야채무침,숙주나물
