,m1,m2,m3,m4,m5
309,쌀밥,참치김치찌개,훈제오리구이,올방개묵무침,부추생채
310,쌀밥,들깨미역국,닭갈비,생선까스,무생채
311,쌀밥,고추장찌개,쇠불고기,홍어채무침,머위대들깨볶음
312,쌀밥,된장찌개,제육볶음,잡채,콩나물무침
313,쌀밥,콩가루배추국,낙지볶음,새송이버섯전,비름나물
314,쌀밥,옹심이만두떡국,유린기,카레감자채볶음,마늘쫑무침
315,쌀밥,콩비지찌개,돈육꽈리고추볶음,매운어묵볶음,치커리유자청무침
316,쌀밥,쇠고기샤브국,오징어볶음,맛살계란찜,양념깻잎지
317,쌀밥,열무된장국,쇠고기장조림,동태전,미나리오이무침
318,쌀밥,부대찌개,굴비구이,고추잡채,청경채무침
319,쌀밥,새우살미역국,순살양념치킨,콩나물겨자채,참나물생채
320,쌀밥,시금치된장국,제육볶음,버섯구이,양배추
321,쌀밥,소고기국,간장찜닭,부추전,해초무침
322,콩나물밥,김치국,고등어구이,감자프리타타,고추지
323,쌀밥,들깨시래기국,오리불고기,두부조림,상추겉절이
324,쌀밥,콩나물국,주꾸미떡볶음,동그랑땡전,부추생채
325,쌀밥,황태국,소불고기,계란찜,청경채사과생채
326,쌀밥,얼갈이된장국,동파삼겹수육,맛살전,아삭고추무침
327,비빔밥,가쯔오장국,탕수만두,콥샐러드,오이지무침
328,쌀밥,오이냉국,등갈비김치찜,어묵볶음,참나물땅콩무침
329,쌀밥,돈육김치찌개,삼치된장구이,모듬소세지볶음,도토리묵무침
330,쌀밥,근대국,돈육굴소스볶음,계란말이,모둠쌈
331,쌀밥,콩나물국,훈제오리구이,새송이버섯전,쌈무
332,쌀밥,얼갈이된장국,미니채소떡갈비,골뱅이무침,숙주나물
333,쌀밥,호박잎된장찌개,깐풍기,어묵꽈리고추볶음,실곤약초무침
334,쌀밥,연두부탕,쇠고기숙주볶음,홍어채무침,고구마순나물
335,쌀밥,도토리묵냉국,쭈꾸미볶음,늙은호박전,치커리사과생채
336,곤드레밥,가쯔오장국,치킨핑거,파스타샐러드,견과류조림
337,쌀밥,쇠고기샤브국,갈치구이,메추리알조림,무생채
338,쌀밥,아욱된장국,삼겹살구이,감자채볶음,쫑상추무침
339,쌀밥,들깨시래기국,유자청제육볶음,해물부추전,오이도라지생채
340,쌀밥,오이지냉국,고등어김치말이,감자비엔나볶음,연근조림
341,카레덮밥,유부주머니국,언양식불고기,떡볶이,수박
342,쌀밥,쇠고기미역국,해물누룽지탕,비빔야채만두,양념깻잎지
343,쌀밥,나가사끼짬뽕국,닭갈비,셀프무쌈말이,콩나물무침
344,쌀밥,차돌박이찌개,훈제오리고추장볶음,곤약흑임자무침,양배추
345,쌀밥,북어콩나물국,오징어볶음,동그랑땡구이,시금치나물
346,콩나물밥,얼갈이된장국,삼치구이,잡채,아삭고추무침
347,쌀밥,우무묵냉국,갈릭돈까스,두부양념조림,부추생채
348,쌀밥,꼬지어묵탕,매운닭찜,감자채전,미역줄기볶음
349,쌀밥,콩나물국,짬뽕불고기,계란찜,청경채겉절이
350,쌀밥,배추된장국,낙지볶음,고기전,미역레몬초무침
351,짜장덮밥,계란국,유산슬,군만두,단무지
352,쌀밥,아욱된장국,등갈비김치찜,어묵볶음,참나물
353,쌀밥,오이냉국,유린기,도토리묵무침,숙주나물
354,쌀밥,콩나물국,버섯불고기,해물겨자냉채,우엉조림
355,쌀밥,어묵국,주꾸미떡볶음,두부계란구이,브로컬리초장
356,<초복특식>,삼계탕,찹쌀밥,생야채&쌈장,수박
357,쌀밥,근대국,돼지갈비찜,동태전,치커리유자청무침
358,쌀밥,부대찌개,갈치조림,버섯잡채,쑥갓두부무침
359,쌀밥,무채국,돈육고추장볶음,간장두부조림,모듬양채쌈
360,쌀밥,열무된장국,간장찜닭,통도라지구이,치커리무침
361,고기덮밥,맑은국,양장피잡채,오꼬노미야끼,천도복숭아
362,쌀밥,소고기매운무국,오징어굴소스볶음,모둠버섯구이,오이무침
363,쌀밥,닭곰탕,미트볼케찹조림,메밀전,영양부추생채
364,쌀밥,어묵탕,콩나물불고기,동그랑땡전,얼갈이된장무침
365,쌀밥,된장찌개,가자미카레튀김,닭살냉채,참나물무침
366,비빔밥,미소장국,파스타샐러드,소세지오븐구이,오렌지
367,쌀밥,콩나물냉국,순살파닭,오징어브로컬리,멸치크렌베리볶음
368,쌀밥,쇠고기샤브국,주꾸미떡볶음,연두부,해초무침
369,쌀밥,연두부탕,쇠고기숙주볶음,홍어채무침,시래기조림
370,쌀밥,부대찌개,해물누룽지탕,우엉잡채,머위대나물
371,쌀밥,꽃게탕,미니채소떡갈비,두부계란구이,치커리사과생채
372,쌀밥,오이미역냉국,닭오븐구이,꽈리고추어묵조림,무생채
373,쌀밥,콩나물국,제육볶음,메추리알조림,호박잎
374,쌀밥,어묵국,쇠고기낙지볶음,새송이버섯전,참나물땅콩무침
375,쌀밥,미역국,닭갈비,시금치프리타타,마늘쫑무침
376,쌀밥,도토리묵냉국,수제돈까스,두부양념조림,단배추나물
377,쌀밥,돈육김치찌개,갈치구이,비엔나감자볶음,셀프무쌈말이
378,쌀밥,고추장찌개,돈육보쌈,쌈&야채스틱,어묵볶음
379,쌀밥,된장찌개,짬뽕불고기,옥수수계란찜,청경채생채
380,쌀밥,쇠고기무국,오징어볶음,모듬묵양념장,오이무침
381,쌀밥,들깨시래기국,매운닭찜,임연수구이,치커리무침
382,짜장덮밥,맑은국,해물까스,부추만두,단무지
383,쌀밥,조랭이떡미역국,소고기불고기,김치전,콩나물무침
384,쌀밥,해물된장찌개,표고버섯탕수육,두부조림,간장깻잎지
385,곤드레밥,가쯔오장국,가자미양념찜,감자채볶음,검정콩조림
386,쌀밥,쇠고기샤브국,주꾸미굴소스볶음,볼어묵볶음,비름나물
387,쌀밥,알탕,미트볼케찹조림,계란말이,마늘쫑무침
388,쌀밥,콩나물국,돈육간장불고기,매운어묵볶음,쑥갓두부무침
389,쌀밥,배추된장국,닭갈비,동태전,치커리사과생채
390,비빔밥,미소장국,언양식불고기,과일샐러드,아삭고추무침
391,쌀밥,육개장,굴비구이,탕수만두,오이무침
392,쌀밥,시래기국,훈제오리구이,두부구이,쌈무
393,쌀밥,북어국,버섯불고기,야채계란찜,실곤약초무침
394,쌀밥,연두부탕,등갈비김치찜,도토리묵무침,땅콩조림
395,쌀밥,꽃게탕,마늘치킨,양배추,고구마줄기볶음
396,쌀밥,쇠고기미역국,오징어볶음,고기전,호박나물
397,쌀밥,열무된장국,동파육,셀프무쌈말이,통도라지구이
398,쌀밥,시래기된장국,유자청제육볶음,오꼬노미야끼계란말이,치커리무침
399,쌀밥,차돌박이찌개,해물누룽지탕,돈육잡채,마늘쫑무침
400,카레덮밥,미소장국,떡갈비조림,모듬묵샐러드,요플레
401,쌀밥,고사리육개장,닭찜,두부계란부침,부추생채
402,쌀밥,참치김치찌개,단호박장조림,고등어구이,참나물무침
403,쌀밥,해물순두부찌개,언양식불고기,감자채전,쫑상추무침
404,쌀밥,들깨버섯국,소고기낙지볶음,비엔나케찹조림,취나물
405,콩나물밥,가쯔오국,감자프리타타,메밀전병만두,아삭고추무침
406,쌀밥,쇠고기샤브국,꽁치구이,김치제육볶음,온두부
407,쌀밥,콩가루배추국,순살양념치킨,콩나물겨자채,모듬묵
408,쌀밥,근대국,짬뽕불고기,실곤약흑임자무침,도라지오이생채
409,쌀밥,시래기들깨탕,닭갈비,해물파전,숙주나물
410,쌀밥,콩나물국,삼겹살구이,어묵볶음,상추파무침
411,쌀밥,차돌박이찌개,매운주꾸미볶음,두부새싹구이,브로컬리초장
412,쌀밥,미역국,쇠불고기,오징어숙회무침,미니케익
413,쌀밥,아욱국,훈제오리구이,계란찜,쌈무
414,쌀밥,고추장찌개,레몬탕수육,궁중떡찜,유채나물
415,쌀밥,해물된장찌개,닭찜,새송이버섯전,얼갈이생채
416,쌀밥,쇠고기무국,오징어볶음,메추리알조림,치커리유자청무침
417,쌀밥,차돌박이찌개,제육볶음,모둠쌈,해파리겨자채
418,쌀밥,근대국,고등어조림,고추잡채,참나물생채
419,쌀밥,민물새우찌개,수제돈가스,시금치프리타타,오이무침
420,쌀밥,새알미역국,유린기,마파두부,가지나물
421,쌀밥,쇠고기매운버섯국,해물청경채볶음,메밀부추전,도라지초무침
422,쌀밥,콩나물국,버섯불고기,홍어채무침,마늘쫑볶음
423,쌀밥,배추된장국,쭈꾸미볶음,두부계란부침,미역줄기볶음
424,곤드레밥,가쯔오장국,갈치조림,쇠고기잡채,쑥갓두부무침
425,쌀밥,육개장,치킨핑거,도토리묵무침,물파래무침
426,쌀밥,시금치국,돼지갈비찜,어묵볶음,무나물
427,쌀밥,들깨시래기국,닭갈비,연두부,취나물
428,쌀밥,근대국,돈삼겹보쌈,옥수수전,콩나물파채
429,카레덮밥,맑은국,개성감자만두,파스타샐러드,군고구마
430,쌀밥,사골떡국,오징어볶음,계란말이,치커리사과생채
431,쌀밥,된장찌개,누룽지탕수육,실곤약초무침,톳두부무침
432,쌀밥,콩가루배추국,짬뽕불고기,참치야채전,호박나물
433,쌀밥,오징어국,수제돈까스,삼치구이,봄동겉절이
434,콩나물밥,미역장국,언양식불고기,도라지오이무침,과일샐러드
435,쌀밥,해물된장찌개,매운닭찜,두부조림,시금치나물
436,쌀밥,올갱이아욱국,등갈비김치찜,들깨버섯무침,숙주나물
437,쌀밥,시금치국,소고기불고기,해물파전,통도라지구이
438,쌀밥,새알미역국,돼지갈비찜,두부새싹구이,세발나물
439,곤드레밥,청양된장찌개,굴비구이,궁중떡볶이,무생채
440,쌀밥,북어계란국,찜닭,메밀전병만두,가지무침
441,쌀밥,콩비지찌개,미니채소떡갈비,동태전,양념깻잎지
442,쌀밥,차돌박이찌개,오징어볶음,계란말이,치커리유자청무침
443,쌀밥,어묵국,순살파닭,맛살겨자채,물파래무침
444,영양밥,가쯔오장국,돈육칠리강정,모듬묵샐러드,숙주나물
445,쌀밥,쇠고기무국,갈치구이,고추잡채,오이무침
446,쌀밥,꽃게탕,돈육굴소스볶음,새송이버섯전,물미역
447,쌀밥,아욱국,버섯불고기,골뱅이무침,무나물
448,쌀밥,연두부탕,사천식탕수육,견과류조림,참나물생채
449,비빔밥,미소장국,코다리조림,과일샐러드,군고구마
450,쌀밥,들깨시래기국,제육볶음,메추리알조림,콩나물무침
451,쌀밥,동태탕,찜닭,옥수수전,취나물
452,쌀밥,들깨무채국,돈육피망볶음,모둠쌈,해파리겨자채
453,쌀밥,소고기된장찌개,낙지볶음,계란찜,오이생채
454,콩나물밥,유부주머니국,생선까스&탈탈소스,두부양념조림,단호박범벅
455,쌀밥,봄동된장국,닭볶음탕,부추전,마늘쫑건새우볶음
456,쌀밥,부대찌개,미트볼케찹조림,사각어묵볶음,김구이
457,쌀밥,해물된장찌개,돈육굴소스볶음,홍어채무침,양념깻잎지
458,쌀밥,차돌박이찌개,해물누룽지탕,계란말이,오이미역무침
459,카레덮밥,미소장국,떡갈비조림,모듬묵,요플레
460,쌀밥,우거지해장국,명태코다리조림,비엔나케찹볶음,시금치나물
461,쌀밥,들깨시래기국,표고버섯탕수육,두부오꼬노미야끼,마늘쫑무침
462,쌀밥,오징어국,버섯불고기,실곤약초무침,상추쑥갓생채
463,쌀밥,달래된장국,주꾸미볶음,시금치프리타타,물미역
464,쌀밥,민물새우찌개,동파육,새송이버섯전,파채콩나물무침
465,쌀밥,순두부찌개,훈제오리구이,어묵볶음,쌈무
466,쌀밥,콩나물국,간장마늘치킨,오징어초무침,무나물
467,쌀밥,꽃게탕,언양식불고기,날치알계란찜,호박나물
468,쌀밥,쇠고기미역국,오징어볶음,동그랑땡전,무쌈말이
469,쌀밥,아욱된장국,돼지갈비찜,콩나물겨자채,참나물무침
470,쌀밥,어묵국,닭볶음탕,연근땅콩조림,파래김
471,쌀밥,사골떡국,한방소갈비찜,김치전,오이무침
472,곤드레밥,청량된장찌개,굴비구이,궁중떡볶이,무생채
473,쌀밥,콩가루배추국,제육볶음,고구마그라탕,모둠쌈
474,쌀밥,부대찌개,깐풍기,곤약어묵볶음,매운콩나물무침
475,쌀밥,황태국,소불고기,계란찜,청경채사과생채
476,쌀밥,근대국,양파치킨,비엔나케찹볶음,유채나물
477,콩나물밥,맑은국,고추잡채,해물까스,참나물생채
478,쌀밥,봄동된장국,오징어돈육볶음,참치야채전,호박나물
479,쌀밥,차돌박이찌개,명태코다리강정,모둠버섯볶음,양념깻잎지
480,쌀밥,아욱국,유자청제육볶음,해물파전,숙주나물
481,쌀밥,꽃게탕,미니채소떡갈비,쫄면무침,참나물땅콩무침
482,비빔밥,가쯔오장국,치킨핑거,마늘쫑볶음,요플레
483,쌀밥,된장찌개,쇠고기장조림,해파리냉채,통도라지구이
484,쌀밥,육개장,탕수어,버섯잡채,무생채
485,쌀밥,북어국,쇠고기숙주볶음,골뱅이무침,세발나물무침
486,쌀밥,시금치된장국,오징어볶음,고기전,봄동겉절이
487,짜장덮밥,맑은국,과일탕수육,개성감자만두,단무지
488,쌀밥,김치콩나물국,돈육굴소스볶음,황태양념구이,모듬쌈
489,쌀밥,연두부탕,순살파닭,늙은호박전,오이사과무침
490,쌀밥,봄동된장국,가래떡돼지갈비찜,콩나물겨자채,참나물무침
491,쌀밥,어묵국,닭볶음,새송이버섯전,가지나물
492,고기덮밥,미소장국,양장피잡채,계란찜,아삭고추무침
493,쌀밥,닭곰탕,매콤미니함박,삼치구이,부추생채
494,쌀밥,차돌박이찌개,표고버섯탕수육,해물김치전,숙주나물
495,쌀밥,순두부찌개,돈육볶음,홍어채무침,시래기조림
496,쌀밥,해물된장찌개,쇠고기장조림,참치야채전,콩나물무침
497,콩나물밥,유부주머니국,언양식불고기,치즈계란말이,도라지오이무침
498,쌀밥,열무된장국,동파삼겹수육,연두부,양념깻잎지
499,쌀밥,부대찌개,해물청경채볶음,메밀전,도토리묵무침
500,쌀밥,차돌박이찌개,닭갈비,실곤약초무침,양배추
501,쌀밥,아욱된장국,사천식탕수육,모둠버섯볶음,쑥갓두부무침
502,쌀밥,떡국,버섯불고기,오징어숙회무침,취나물
503,쌀밥,들깨미역국,훈제오리구이,두부양념조림,쌈무
504,쌀밥,배추된장국,짬뽕불고기,늙은호박전,청경채사과무침
505,카레덮밥,맑은국,고구마치즈구이,파스타샐러드,오이무침
506,쌀밥,콩나물국,마늘치킨,모둠묵,미역줄기볶음
507,쌀밥,시금치된장국,등갈비김치찜,맛살냉채,쫑상추무침
508,쌀밥,황태국,소고기숙주볶음,새송이버섯전,치커리무침
509,쌀밥,아욱된장국,돼지갈비찜,마늘쫑볶음,곰피초장
510,곤드레밥,어묵국,치킨핑거,도토리묵무침,콩조림
511,쌀밥,차돌박이된장찌개,조기구이,오징어숙회무침,보름나물
512,쌀밥,해물순두부찌개,소고기장조림,해파리냉채,청경채생채
513,쌀밥,근대된장국,닭강정,해물파전,단배추나물
514,콩나물밥,가쯔오국,삼치구이,떡잡채,얼갈이나물
515,쌀밥,홍합탕,오리불고기,탕평채,간장깻잎지
516,쌀밥,쇠고기샤브국,주꾸미볶음,두부새싹구이,참나물무침
517,쌀밥,배추된장국,버섯불고기,시금치프리타타,부추생채
518,쌀밥,쇠고기무국,미트볼케찹조림,우엉잡채,가지나물
519,쌀밥,시금치된장국,탕수어,두부,시래기지짐
520,쌀밥,동태탕,닭데리야끼조림,어묵볶음,숙주나물
521,쌀밥,얼갈이국,오징어볶음,동그랑땡전,세발나물
522,쌀밥,어묵국,돈육간장볶음,골뱅이무침,무나물
523,쌀밥,된장찌개,해물누룽지탕,고기전,견과류조림
524,쌀밥,쇠고기미역국,닭볶음탕,도토리묵무침,양배추
525,쌀밥,우거지해장국,코다리강정,계란말이,청경채나물
526,쌀밥,열무된장국,수제돈까스,메추리알곤약조림,참나물생채
527,쌀밥,차돌박이찌개,닭갈비,새송이버섯조림,치커리사과무침
528,쌀밥,콩나물국,등갈비김치찜,부추전,흑임자연근샐러드
529,카레덮밥,유부장국,유린기,볼어묵볶음,오복지
530,쌀밥,얼큰소고기국,고추잡채,계란찜,숙주나물
531,쌀밥,참치김치찌개,주꾸미볶음,미니함박조림,취나물무침
532,쌀밥,들깨버섯국,소고기낙지볶음,비엔나간장볶음,아삭고추무침
533,쌀밥,동태매운탕,언양식불고기,잡채,쑥갓두부무침
534,곤드레밥,가쯔오장국,닭오븐구이,오징어숙회무침,시저샐러드
535,쌀밥,쑥된장국,류산슬,오꼬노미야끼계란말이,오이도라지생채
536,쌀밥,수제비국,양념치킨,연두부,진미채무침
537,쌀밥,콩나물국,제육볶음,해파리냉채,모듬쌈
538,쌀밥,민물새우찌개,소고기장조림,홍어채무침,참나물땅콩무침
539,쌀밥,아욱국,오징어볶음,새싹두부구이,해초무침
540,쌀밥,순두부찌개,코다리양념조림,모듬소시지구이,청경채사과무침
541,쌀밥,근대국,안동찜닭,해물김치전,부추생채
542,쌀밥,배추된장국,짬뽕불고기,버섯잡채,청포묵무침
543,쌀밥,무채국,훈제오리구이,두부조림,양파절임
544,콩나물밥,열무된장국,치킨핑거,궁중떡볶음,오이미역무침
545,쌀밥,알탕,돈육간장볶음,실곤약초무침,가지나물
546,쌀밥,돈육김치찌개,가자미카레튀김,야채계란찜,쫑상추무침
547,쌀밥,콩나물국,류산슬,계란말이,오이도라지무침
548,쌀밥,쇠고기미역국,깐풍기,꽁치김치말이,청경채새송이볶음
549,비빔밥,유부장국,오징어튀김,떡밤초,요플레
550,쌀밥,시래기국,닭매운찜,호박전,쑥갓두부무침
551,쌀밥,순두부찌개,삼겹살구이,쫄면무침,상추부추생채
552,쌀밥,어묵국,닭데리야끼조림,꽃맛살볶음,치커리무침
553,고기덮밥,유부장국,양장피잡채,오꼬노미야끼,오렌지
554,쌀밥,도토리묵냉국,수제돈까스,어묵볶음,오이미역무침
555,쌀밥,무청된장국,콩나물제육볶음,임연수구이,취나물무침
556,쌀밥,배추된장국,버섯불고기,시금치프리타타,무생채
557,쌀밥,돈육김치찌개,탕수어,우엉잡채,도라지무침
558,쌀밥,근대국,돈육굴소스볶음,해파리겨자채,양배추
559,쌀밥,소고기무국,오징어볶음,두부계란부침,미역줄기볶음
560,쌀밥,시금치된장국,훈제오리구이,실곤약무침,무쌈
561,쌀밥,얼갈이된장국,등갈비김치찜,새송이버섯전,참나물생채
562,카레덮밥,맑은국,고구마치즈구이,어묵꽈리고추볶음,오이무침
563,쌀밥,콩나물국,닭볶음탕,탕평채,영양부추무침
564,쌀밥,차돌박이된장찌개,주꾸미볶음,동그랑땡전,양념깻잎지
565,쌀밥,시래기들깨탕,짬뽕불고기,멸치볶음,상추파무침
566,곤드레밥,얼갈이된장국,마늘치킨,오징어&브로컬리,고추지무침
567,쌀밥,조랭이떡국,돼지갈비찜,두부구이,치커리생채
568,쌀밥,사과오이냉국,꽁치오븐구이,떡갈비조림,청경채무침
569,쌀밥,미역국,제육볶음,두부양념조림,모듬쌈
570,쌀밥,김치찌개,해물청경채볶음,버섯잡채,올방개묵무침
571,콩나물밥,유부장국,수제돈가스,파스타샐러드,무생채
572,쌀밥,오징어국,동파삼겹수육,메밀부추전,깻잎지
573,쌀밥,우거지해장국,치킨핑거,명태양념조림,오이생채
574,쌀밥,콩나물국,돈육간장볶음,계란말이,부추생채
575,쌀밥,된장찌개,닭갈비,해파리겨자채,취나물
576,쌀밥,순두부찌개,고추잡채,갈치구이,도라지생채
577,쌀밥,대구매운탕,완자전,곤약메추리알조림,마늘쫑볶음
578,쌀밥,배추된장국,버섯불고기,골뱅이무침,콩나물무침
579,쌀밥,육개장,고등어김치말이,모듬소시지구이,청경채무침
580,쌀밥,근대국,순살파닭,카레감자채볶음,호박나물
581,쌀밥,부대찌개,오징어볶음,연두부,브로컬리맛살볶음
582,쌀밥,미역국,훈제오리구이,쫄면무침,무쌈
583,쌀밥,꽃게탕,삼치데리야끼,비엔나케찹볶음,아삭고추무침
584,비빔밥,팽이장국,미니채소떡갈비,땅콩조림,방울토마토
585,쌀밥,오이냉국,짬뽕불고기,명란계란말이,상추파무침
586,쌀밥,닭개장,코다리강정,잡채,도토리묵무침
587,쌀밥,어묵국,닭갈비,시금치프리타타,해초무침
588,쌀밥,돈육김치찌개,류산슬,생선커틀릿,영양부추무침
589,카레덮밥,가쯔오장국,깐풍육,구운채소,오복지무침
590,쌀밥,들깨버섯국,매운돼지갈비찜,메추리알곤약조림,도라지오이생채
591,쌀밥,육개장,동태무조림,메밀전병만두,올방개묵무침
592,쌀밥,콩나물국,유자청제육볶음,계란말이,미역줄기볶음
593,쌀밥,아욱국,소고기장조림,홍어채무침,가지나물
594,곤드레밥,맑은국,탕수어,오이무침,찐옥수수
595,쌀밥,근대국,닭볶음탕,해물파전,도라지나물
596,쌀밥,도토리묵냉국,동파삼겹수육,매운어묵볶음,쫑상추무침
597,쌀밥,고추장찌개,돈육굴소스볶음,브로컬리오징어숙회,숙주나물
598,쌀밥,쇠고기매운국,훈제오리구이,우엉잡채,양파절임
599,비빔밥,미소장국,오징어튀김,견과류조림,과일샐러드
600,쌀밥,호박잎된장찌개,깐풍기,해파리겨자채,도토리묵
601,쌀밥,어묵국,등갈비김치찜,연두부,콩나물무침
602,쌀밥,된장찌개,소불고기,동그랑땡전,실곤약야채무침
603,삼계탕,찹쌀밥,생야채,참나물생채,수박
604,콩나물밥,유부장국,해물까스,메추리알조림,찐햇감자
605,쌀밥,해물순두부찌개,안동찜닭,부추전,청경채무침
606,쌀밥,우무콩국,유자청제육볶음,통도라지구이,호박잎
607,쌀밥,어묵국,돈육굴소스볶음,오징어야채무침,간장깻잎지
608,쌀밥,우거지해장국,삼치양념구이,함박스테이크,아삭고추무침
609,쌀밥,쇠고기샤브국,유린기,사각어묵볶음,오이사과생채
610,쌀밥,오이지냉국,매운돼지갈비찜,콩나물냉채,참나물땅콩무침
611,쌀밥,닭곰탕,주꾸미떡볶음,새송이버섯전,치커리유자청무침
612,쌀밥,근대국,닭갈비,시금치프리타타,도라지오이생채
613,쌀밥,콩나물국,짬뽕불고기,버섯잡채,가지나물
614,카레덮밥,가쯔오장국,떡갈비조림,감자만두,오복지
